University,Topic,Question,Expected_Answer
Pandit Deendayal Energy University,Facilities,Does Pandit Deendayal Energy University have a hostel and what is the fee?,"Yes, Pandit Deendayal Energy University has a hostel for both boys and girls. The fee is 55632 and the mess fee is 34316."
Pandit Deendayal Energy University,Facilities,What are the library timings for Pandit Deendayal Energy University?,The library timings for Pandit Deendayal Energy University are 8:00 AM to 8:00 PM.
Pandit Deendayal Energy University,Academics,What is the attendance rule at Pandit Deendayal Energy University?,The attendance rule at Pandit Deendayal Energy University is Minimum 75% attendance mandatory.
Punjab Agricultural University,Fees,What is the tuition fee for Punjab Agricultural University?,The tuition fee for Punjab Agricultural University is 83847 per semester.
Punjab Agricultural University,Placements,What is the highest placement package at Punjab Agricultural University?,The highest placement package at Punjab Agricultural University is 28.9 Lakh Per Annum.
Punjab Agricultural University,Facilities,Does Punjab Agricultural University have a hostel and what is the fee?,"Yes, Punjab Agricultural University has a hostel for both boys and girls. The fee is 81299 and the mess fee is 30134."
Punjab Agricultural University,Facilities,What are the library timings for Punjab Agricultural University?,The library timings for Punjab Agricultural University are 8:00 AM to 8:00 PM.
Punjab Agricultural University,Academics,What is the attendance rule at Punjab Agricultural University?,The attendance rule at Punjab Agricultural University is Minimum 75% attendance mandatory.
Dr. Panjabrao Deshmukh Krishi Vidyapeeth,Fees,What is the tuition fee for Dr. Panjabrao Deshmukh Krishi Vidyapeeth?,The tuition fee for Dr. Panjabrao Deshmukh Krishi Vidyapeeth is 76067 per semester.
Dr. Panjabrao Deshmukh Krishi Vidyapeeth,Placements,What is the highest placement package at Dr. Panjabrao Deshmukh Krishi Vidyapeeth?,The highest placement package at Dr. Panjabrao Deshmukh Krishi Vidyapeeth is 15.4 Lakh Per Annum.
Dr. Panjabrao Deshmukh Krishi Vidyapeeth,Facilities,Does Dr. Panjabrao Deshmukh Krishi Vidyapeeth have a hostel and what is the fee?,"Yes, Dr. Panjabrao Deshmukh Krishi Vidyapeeth has a hostel for both boys and girls. The fee is 63087 and the mess fee is 27949."
Dr. Panjabrao Deshmukh Krishi Vidyapeeth,Facilities,What are the library timings for Dr. Panjabrao Deshmukh Krishi Vidyapeeth?,The library timings for Dr. Panjabrao Deshmukh Krishi Vidyapeeth are 8:00 AM to 8:00 PM.
Dr. Panjabrao Deshmukh Krishi Vidyapeeth,Academics,What is the attendance rule at Dr. Panjabrao Deshmukh Krishi Vidyapeeth?,The attendance rule at Dr. Panjabrao Deshmukh Krishi Vidyapeeth is Minimum 75% attendance mandatory.
Parul University,Fees,What is the tuition fee for Parul University?,The tuition fee for Parul University is 84791 per semester.
Parul University,Placements,What is the highest placement package at Parul University?,The highest placement package at Parul University is 6 Lakh Per Annum.
Parul University,Facilities,Does Parul University have a hostel and what is the fee?,"Yes, Parul University has a hostel for both boys and girls. The fee is 66022 and the mess fee is 30919."
Parul University,Facilities,What are the library timings for Parul University?,The library timings for Parul University are 8:00 AM to 8:00 PM.
Parul University,Academics,What is the attendance rule at Parul University?,The attendance rule at Parul University is Minimum 75% attendance mandatory.
Punjab Engineering College,Fees,What is the tuition fee for Punjab Engineering College?,The tuition fee for Punjab Engineering College is 63026 per semester.
Punjab Engineering College,Placements,What is the highest placement package at Punjab Engineering College?,The highest placement package at Punjab Engineering College is 17.8 Lakh Per Annum.
Punjab Engineering College,Facilities,Does Punjab Engineering College have a hostel and what is the fee?,"Yes, Punjab Engineering College has a hostel for both boys and girls. The fee is 74736 and the mess fee is 33658."
Punjab Engineering College,Facilities,What are the library timings for Punjab Engineering College?,The library timings for Punjab Engineering College are 8:00 AM to 8:00 PM.
Punjab Engineering College,Academics,What is the attendance rule at Punjab Engineering College?,The attendance rule at Punjab Engineering College is Minimum 75% attendance mandatory.
PES University,Fees,What is the tuition fee for PES University?,The tuition fee for PES University is 72202 per semester.
PES University,Placements,What is the highest placement package at PES University?,The highest placement package at PES University is 26.5 Lakh Per Annum.
PES University,Facilities,Does PES University have a hostel and what is the fee?,"Yes, PES University has a hostel for both boys and girls. The fee is 71531 and the mess fee is 42027."
PES University,Facilities,What are the library timings for PES University?,The library timings for PES University are 8:00 AM to 8:00 PM.
PES University,Academics,What is the attendance rule at PES University?,The attendance rule at PES University is Minimum 75% attendance mandatory.
Postgraduate lnstitute of Medical Education and Research,Fees,What is the tuition fee for Postgraduate lnstitute of Medical Education and Research?,The tuition fee for Postgraduate lnstitute of Medical Education and Research is 146559 per semester.
Postgraduate lnstitute of Medical Education and Research,Placements,What is the highest placement package at Postgraduate lnstitute of Medical Education and Research?,The highest placement package at Postgraduate lnstitute of Medical Education and Research is 36.6 Lakh Per Annum.
